name,mode,code
ADC,#,69
ADC,abs,6D
ADC,zpg,65
AND,#,29
AND,abs,2D
AND,zpg,25
BIT,abs,2C
BIT,zpg,24
CLV,impl,B8
CMP,#,C9
CMP,abs,CD
CMP,zpg,C5
CPX,#,E0
CPX,abs,EC
CPX,zpg,E4
CPY,#,C0
CPY,abs,CC
CPY,zpg,C4
DEC,abs,CE
DEC,zpg,C6
DEX,impl,CA
DEY,impl,88
INC,abs,EE
INC,zpg,E6
INX,impl,E8
INY,impl,C8
JMP,abs,4C
LDA,#,A9
LDA,abs,AD
LDA,zpg,A5
LDX,#,A2
LDX,abs,AE
LDX,zpg,A6
LDY,#,A0
LDY,abs,AC
LDY,zpg,A4
LSR,abs,4E
LSR,zpg,46
LSR,A,4A
NOP,impl,EA
PHA,impl,48
PLA,impl,68
RTS,impl,60
STA,abs,8D
STA,zpg,85
STX,abs,8E
STX,zpg,86
STY,abs,8C
STY,zpg,84
TAX,impl,AA
TAY,impl,A8
TXA,impl,8A
TYA,impl,98